"Date","Price","Open","High","Low","Vol.","Change %"
"17-12-2017","33,940.30","33,364.52","33,964.28","32,595.63","68.53M","1.43%"
"10-12-2017","33,462.97","33,317.72","33,621.96","32,886.93","82.62M","0.64%"
"03-12-2017","33,250.30","32,968.02","33,285.68","32,565.16","53.09M","1.27%"
"26-11-2017","32,832.94","33,640.51","33,770.15","32,797.78","41.40M","-2.51%"
"19-11-2017","33,679.24","33,365.84","33,738.53","33,288.21","52.13M","1.01%"
"12-11-2017","33,342.80","33,397.41","33,520.82","32,683.59","64.27M","0.08%"
"05-11-2017","33,314.56","33,710.15","33,865.95","33,108.09","358.52M","-1.10%"
"29-10-2017","33,685.56","33,260.10","33,733.71","33,164.28","259.70M","1.59%"
"22-10-2017","33,157.22","32,411.86","33,286.51","32,312.74","83.14M","2.37%"
"15-10-2017","32,389.96","32,488.23","32,699.86","32,319.37","32.29M","-0.13%"
"08-10-2017","32,432.69","31,862.20","32,508.59","31,769.40","46.28M","1.94%"
"01-10-2017","31,814.22","31,537.81","31,844.28","31,440.48","28.15M","1.70%"
"24-09-2017","31,283.72","31,986.40","32,016.52","31,081.83","49.47M","-2.00%"
"17-09-2017","31,922.44","32,361.37","32,524.11","31,886.09","98.70M","-1.09%"
"10-09-2017","32,272.61","31,798.31","32,356.11","31,797.89","44.06M","1.85%"
"03-09-2017","31,687.52","31,932.20","31,932.20","31,560.32","42.07M","-0.64%"
"27-08-2017","31,892.23","31,756.87","31,944.10","31,360.81","48.28M","0.94%"
"20-08-2017","31,596.06","31,609.93","31,678.19","31,220.53","54.97M","0.23%"
"13-08-2017","31,524.68","31,299.52","31,937.51","31,298.90","48.57M","1.00%"
"06-08-2017","31,213.59","32,377.80","32,396.14","31,128.02","59.03M","-3.44%"
"30-07-2017","32,325.41","32,412.20","32,686.48","32,107.99","58.09M","0.05%"
"23-07-2017","32,309.88","32,100.22","32,672.66","32,058.33","62.09M","0.88%"
"16-07-2017","32,028.89","32,053.98","32,131.92","31,626.44","74.75M","0.03%"
"09-07-2017","32,020.75","31,510.62","32,109.75","31,471.41","75.41M","2.10%"
"02-07-2017","31,360.63","31,156.04","31,460.70","31,017.11","40.71M","1.42%"
"25-06-2017","30,921.61","31,194.68","31,294.96","30,680.66","48.21M","-0.70%"
"18-06-2017","31,138.21","31,168.98","31,522.87","31,110.39","155.70M","0.26%"
"11-06-2017","31,056.40","31,225.43","31,260.77","31,017.18","60.49M","-0.66%"
"04-06-2017","31,262.06","31,274.74","31,430.32","31,087.28","57.66M","-0.04%"
"28-05-2017","31,273.29","30,944.38","31,332.56","30,869.90","56.09M","0.79%"
"21-05-2017","31,028.21","30,638.88","31,074.07","30,247.60","68.27M","1.85%"
